,player_id,team_id,team_name,player_name,matches_played,cumulative_conceded,cumulative_claims,cumulative_saves,rate_conceded,rate_claims,rate_saves,percentile_rate_conceded,percentile_rate_claims,percentile_rate_saves,general_metric,general_metric_rank,player_role,cumulative_pass_value,cumulative_progressive,cumulative_tackle_value,cumulative_int_value,cumulative_block_value,cumulative_clearance_value,cumulative_rec_value,cumulative_g_duel_value,cumulative_a_duel_value,cumulative_cross_value,attempted_passes,attempted_tackles,attempted_ground_duels,attempted_aerial_duels,attempted_crosses,rate_progressive,rate_clearance_value,rate_rec_value,rate_int_value,rate_block_value,success_rate_tackles,success_rate_ground_duels,success_rate_aerial_duels,success_rate_passes,success_rate_crosses,percentile_success_rate_passes,percentile_success_rate_tackles,percentile_rate_int_value,percentile_rate_block_value,percentile_success_rate_ground_duels,percentile_success_rate_aerial_duels,percentile_rate_clearance_value,percentile_success_rate_crosses,percentile_rate_progressive,percentile_rate_rec_value,cumulative_key_pass_value,cumulative_dribble_value,cumulative_assist,cumulative_ground_duel_value,cumulative_aerial_duel_value,attempted_key_passes,attempted_dribbles,attempted_assists,rate_key_pass_value,rate_dribble_value,rate_assist,rate_ground_duels,rate_aerial_duels,rate_tackle_value,success_rate_key_passes,success_rate_dribbles,success_rate_assists,percentile_pass_value,percentile_progressive,percentile_key_pass_value,percentile_dribble_value,percentile_tackle_value,percentile_ground_duels,percentile_aerial_duels,percentile_assists,cumulative_is_goal,rate_goals,percentile_goals,cumulative_dribbles,cumulative_shots,cumulative_assists,cumulative_crosses,cumulative_ground_duels,cumulative_aerial_duels,attempted_shots,rate_dribbles,rate_shots,rate_assists,rate_crosses,success_rate_shots,percentile_dribbles,percentile_shots,percentile_crosses
183,668abe1872c0721424e3fef4,668aadd172c0721424e3f8f7,Ghana U17 Men,Izdeen Mohammed,3,,,,,,,,,,2.3137424242424243,52.94117647058824,Left Back,69.0,34.0,6.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0,88.0,6.0,0.0,1.0,5.0,11.333333333333334,2.6666666666666665,0.0,0.0,0.0,1.0,0.0,1.0,0.7840909090909091,0.4,61.76470588235294,88.97058823529412,50.73529411764706,19.11764705882353,32.35294117647059,85.29411764705883,38.23529411764706,88.97058823529412,50.73529411764706,50.73529411764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,65e6d5f4910a6d54ed319346,65e6d4792d76b9205615bf3e,Rangers International FC U-17,Umeh Chibuike,7,,,,,,,,,,2.306615623182787,51.470588235294116,Left Back,83.0,77.0,6.0,0.0,4.0,22.0,0.0,3.0,6.0,8.0,134.0,7.0,5.0,11.0,28.0,11.0,3.142857142857143,0.0,0.0,0.5714285714285714,0.8571428571428571,0.6,0.5454545454545454,0.6194029850746269,0.2857142857142857,11.76470588235294,66.91176470588235,50.73529411764706,69.11764705882352,73.52941176470588,44.11764705882353,48.529411764705884,69.85294117647058,47.05882352941176,50.73529411764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,65fc239e043ab4ea21f878ca,658d1ccd07b7d286330cdd16,LEAL SC,OYETUNJI TAOFEEK,8,,,,,,,,,,2.241066252587992,50.0,Left Back,124.0,96.0,10.0,0.0,0.0,16.0,0.0,1.0,0.0,12.0,161.0,15.0,2.0,0.0,28.0,12.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.5,0.0,0.7701863354037267,0.42857142857142855,57.35294117647059,38.23529411764706,50.73529411764706,19.11764705882353,68.38235294117648,11.029411764705882,27.941176470588236,91.17647058823529,54.41176470588235,50.73529411764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,66e03e04941c1ce8a288c61d,66e0395a941c1ce8a288c526,Obazz Football Club,Chidera Anih,3,,,,,,,,,,2.1896153846153843,48.529411764705884,Left Back,31.0,34.0,4.0,0.0,0.0,6.0,0.0,0.0,2.0,2.0,52.0,5.0,0.0,2.0,13.0,11.333333333333334,2.0,0.0,0.0,0.0,0.8,0.0,1.0,0.5961538461538461,0.15384615384615385,8.823529411764707,61.76470588235294,50.73529411764706,19.11764705882353,32.35294117647059,85.29411764705883,27.941176470588236,41.17647058823529,50.73529411764706,50.73529411764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,668d8a9c18f7da3e56ef79c9,668d805f18f7da3e56ef7999,Burkina Faso U17 Men,Issouf Sangare,5,,,,,,,,,,2.1204098360655736,47.05882352941176,Left Back,46.0,41.0,9.0,0.0,5.0,34.0,0.0,1.0,8.0,0.0,61.0,10.0,2.0,10.0,3.0,8.2,6.8,0.0,0.0,1.0,0.9,0.5,0.8,0.7540983606557377,0.0,50.0,75.73529411764706,50.73529411764706,88.97058823529412,68.38235294117648,68.38235294117648,92.64705882352942,16.176470588235293,29.411764705882355,50.73529411764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,66629d86fe0345419d7e533c,65d8d307bf04d63e496f44df,Glorious Day FC,Alexandria Godday,3,,,,,,,,,,2.1150909090909087,45.588235294117645,Left Back,49.0,39.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,55.0,0.0,0.0,2.0,10.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8909090909090909,0.2,98.52941176470588,3.6764705882352944,50.73529411764706,19.11764705882353,32.35294117647059,11.029411764705882,11.76470588235294,50.73529411764706,58.82352941176471,50.73529411764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,668ab72872c0721424e3fdb3,668aadd172c0721424e3f8f7,Ghana U17 Men,Prince Amoah,3,,,,,,,,,,2.1106060606060604,44.11764705882353,Left Back,34.0,33.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,44.0,1.0,0.0,1.0,1.0,11.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,1.0,0.7727272727272727,0.0,59.55882352941176,88.97058823529412,50.73529411764706,55.14705882352941,32.35294117647059,85.29411764705883,1.4705882352941175,16.176470588235293,47.05882352941176,50.73529411764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,66bd2d9c1489f0642b886db4,66a7f414b0b74f55a5f2a051,FC Zeus,Olokooba Abdulgafar,3,,,,,,,,,,2.037554945054945,42.64705882352941,Left Back,21.0,30.0,3.0,0.0,0.0,9.0,0.0,0.0,6.0,4.0,26.0,5.0,1.0,8.0,7.0,10.0,3.0,0.0,0.0,0.0,0.6,0.0,0.75,0.8076923076923077,0.5714285714285714,77.94117647058823,25.735294117647058,50.73529411764706,19.11764705882353,32.35294117647059,61.76470588235294,45.588235294117645,98.52941176470588,44.11764705882353,50.73529411764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,66ce33f4e00c3ce2e82c4048,65b632c88e12b465b6073675,Shooting Stars SC,Ikouwem Utim,4,,,,,,,,,,1.970758064516129,41.17647058823529,Left Back,51.0,39.0,3.0,0.0,1.0,14.0,0.0,0.0,0.0,1.0,62.0,3.0,0.0,0.0,5.0,9.75,3.5,0.0,0.0,0.25,1.0,0.0,0.0,0.8225806451612904,0.2,82.35294117647058,88.97058823529412,50.73529411764706,45.588235294117645,32.35294117647059,11.029411764705882,55.88235294117647,50.73529411764706,42.64705882352941,50.73529411764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,66f6a8d37a1857b62e32a17a,66f694867a1857b62e329ea2,Jnr Danburam FC,mudassiru salisu,3,,,,,,,,,,1.9453900709219858,39.705882352941174,Left Back,37.0,27.0,6.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,47.0,8.0,0.0,1.0,2.0,9.0,4.333333333333333,0.0,0.0,0.0,0.75,0.0,1.0,0.7872340425531915,0.0,63.23529411764706,50.73529411764706,50.73529411764706,19.11764705882353,32.35294117647059,85.29411764705883,72.05882352941177,16.176470588235293,38.23529411764706,50.73529411764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
