,player_id,team_id,team_name,player_name,level_y,country_y,matches_played,cumulative_conceded,cumulative_pass_value,cumulative_claims,cumulative_saves,attempted_passes,level_weight,rate_conceded,rate_claims,rate_saves,success_rate_passes,percentile_rate_conceded,percentile_rate_claims,percentile_rate_saves,percentile_pass_success,general_metric,general_metric_rank,player_role,cumulative_progressive,cumulative_tackle_value,cumulative_int_value,cumulative_block_value,cumulative_clearance_value,cumulative_rec_value,cumulative_g_duel_value,cumulative_a_duel_value,cumulative_cross_value,cumulative_shots,cumulative_is_goal,cumulative_progressivecv,cumulative_key_pass_value,cumulative_dribble_value,cumulative_assist,attempted_tackles,attempted_ground_duels,attempted_aerial_duels,attempted_crosses,attempted_dribbles,attempted_shots,rate_progressive,rate_progressive_carries,rate_clearance_value,rate_rec_value,rate_int_value,rate_block_value,rate_carries,success_rate_tackles,success_rate_ground_duels,success_rate_aerial_duels,success_rate_crosses,success_rate_dribbles,shot_accuracy,percentile_success_rate_passes,percentile_success_rate_tackles,percentile_rate_int_value,percentile_rate_block_value,percentile_success_rate_ground_duels,percentile_success_rate_aerial_duels,percentile_rate_clearance_value,percentile_success_rate_crosses,percentile_rate_progressive,percentile_rate_rec_value,cumulative_ground_duel_value,cumulative_aerial_duel_value,attempted_key_passes,attempted_assists,rate_key_pass_value,rate_dribble_value,rate_assist,rate_ground_duels,rate_aerial_duels,rate_tackle_value,success_rate_key_passes,success_rate_assists,percentile_pass_value,percentile_progressive,percentile_key_pass_value,percentile_dribble_value,percentile_tackle_value,percentile_ground_duels,percentile_aerial_duels,percentile_assists,rate_goals,percentile_goals,cumulative_dribbles,cumulative_assists,cumulative_crosses,cumulative_ground_duels,cumulative_aerial_duels,rate_dribbles,rate_shots,rate_assists,rate_crosses,success_rate_shots,percentile_dribbles,percentile_shots,percentile_crosses
1115,6453c3721e67015ea58408a3,64511f214a9765378a06dceb,BEYOND LIMITS FOOTBALL ACADEMY,ADEBAYO DIKKO,Under 21,Nigeria,1,,51.0,,,57.0,0.8,,,,0.8947368421052632,,,,,2.599578947368421,76.88603531300161,"Center Back,Right Back",17.0,1.0,1.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,17.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,84.75120385232745,83.22632423756019,29.534510433386842,95.74638844301766,90.4494382022472,42.29534510433387,37.479935794542534,42.45585874799358,82.90529695024077,50.08025682182986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,65fc25f0043ab4ea21f878eb,66395141d2c26bcb770399f3,Ijebu Athletic,ADEBOYEJO ABIODUN,Under 21,Nigeria,1,2.0,9.0,3.0,0.0,10.0,0.8,2.0,3.0,0.0,0.9,77.33564013840831,99.30795847750865,6.920415224913495,86.31578947368422,0.4719999999999999,40.526315789473685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,65fc25f0043ab4ea21f878eb,658d1ccd07b7d286330cdd16,LEAL SC,ADEBOYEJO ABIODUN,Under 21,Nigeria,6,6.0,106.0,1.0,11.0,116.0,0.8,1.0,0.16666666666666666,1.8333333333333333,0.9137931034482759,41.69550173010381,53.979238754325266,57.266435986159166,89.82456140350877,0.6864367816091955,61.228070175438596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,65fc2863043ab4ea21f87903,658d1ccd07b7d286330cdd16,LEAL SC,ADEDEJI TOBI,Under 21,Nigeria,3,,40.0,,,47.0,0.8,,,,0.851063829787234,,,,,1.1221276595744683,39.42028985507247,Defensive Midfielder,20.0,1.0,4.0,,,,,,,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,,3.0,0.0,6.666666666666667,0.0,,,1.3333333333333333,,,0.5,0.0,0.5,,1.0,0.0,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,73.47826086956522,36.08695652173913,33.18840579710145,81.73913043478261,37.2463768115942,33.6231884057971,57.68115942028985,,,,,,,,,,,,,,,,
3441,65fc20a9043ab4ea21f877cf,658d1ccd07b7d286330cdd16,LEAL SC,ADESHINA LUKMAN,Under 21,Nigeria,6,,,,,,0.8,,,,,,,,,0.726047619047619,98.796992481203,Center Forward,,,,,,,,,,17.0,6.0,1.0,6.0,,,,7.0,2.0,1.0,16.0,24.0,,0.16666666666666666,,,,,,,0.7142857142857143,0.5,0.0,0.625,,,,,,,,,,,,,,,,1.0,,,0.8333333333333334,0.16666666666666666,,,,,,92.55639097744361,,,85.41353383458646,76.69172932330827,92.70676691729324,1.0,94.3609022556391,10.0,2.0,0.0,5.0,1.0,1.6666666666666667,2.8333333333333335,0.3333333333333333,0.0,0.7083333333333334,68.04511278195488,80.75187969924812,38.27067669172932
913,66d95c314af44cc4ef28d48d,65f73cd264ac866512d2e7a4,Future bright football academy,ADIGUN Ibrahim,Under 21,Nigeria,1,,8.0,,,9.0,0.8,,,,0.8888888888888888,,,,,0.7111111111111112,17.313432835820898,Left Back,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.83582089552239,11.791044776119403,8.805970149253731,26.865671641791046,35.97014925373134,24.17910447761194,35.223880597014926,30.29850746268657,28.059701492537314,50.14925373134328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796,6453948c1e67015ea584074e,64511f214a9765378a06dceb,BEYOND LIMITS FOOTBALL ACADEMY,ADNAN KABIR,Under 21,Nigeria,1,,3.0,,,4.0,0.8,,,,0.75,,,,,0.07800000000000001,3.733333333333334,"Attacking Midfielder,Central Midfielder",0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.733333333333334,4.0,29.86666666666667,27.866666666666667,18.0,36.8,33.2,41.86666666666667,0.0,39.86666666666667,,,,,,,,,,,,,
250,663a23b905bec6a6f17ed512,663a1fbe05bec6a6f17ed1a4,NSOATREMAN FOOTBALL CLUB,AFADZWU DANIEL,First Team,Ghana,3,4.0,37.0,1.0,1.0,64.0,1.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.578125,59.34256055363322,60.89965397923876,14.013840830449828,19.298245614035086,0.05781249999999999,12.280701754385964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,6641e0878286c706c5f24cac,65faa3a3d1b643df8c93170e,Fima football club,AFOLABI NURUDEEN,Under 21,Nigeria,1,,4.0,,,7.0,0.8,,,,0.5714285714285714,,,,,0.7017142857142857,12.39193083573487,Right Back,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.82420749279539,15.706051873198849,32.564841498559076,24.927953890489913,35.158501440922194,24.927953890489913,58.06916426512968,29.394812680115272,17.002881844380404,50.14409221902017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,65d747de2265b112646ab7cf,65be875381882fac08f91fd4,ENTEBBE PRIDE FC,AKUGIZIBWE ROBERT,First Team,Uganda,8,,192.0,,,249.0,1.0,,,,0.7710843373493976,,,,,3.7694947973713036,95.82089552238806,Left Back,140.0,14.0,35.0,2.0,15.0,0.0,4.0,2.0,4.0,1.0,0.0,3.0,0.0,5.0,0.0,16.0,4.0,4.0,22.0,5.0,0.0,17.5,0.375,1.875,0.0,4.375,0.25,0.375,0.875,1.0,0.5,0.18181818181818182,1.0,0.0,44.47761194029851,61.04477611940299,85.67164179104478,58.507462686567166,90.14925373134328,59.1044776119403,53.13432835820896,69.40298507462687,84.02985074626865,50.14925373134328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
