,player_id,team_id,team_name,player_name,level_y,country_y,matches_played,cumulative_conceded,cumulative_pass_value,cumulative_claims,cumulative_saves,attempted_passes,level_weight,rate_conceded,rate_claims,rate_saves,success_rate_passes,percentile_rate_conceded,percentile_rate_claims,percentile_rate_saves,percentile_pass_success,general_metric,general_metric_rank,player_role,cumulative_progressive,cumulative_tackle_value,cumulative_int_value,cumulative_block_value,cumulative_clearance_value,cumulative_rec_value,cumulative_g_duel_value,cumulative_a_duel_value,cumulative_cross_value,cumulative_shots,cumulative_is_goal,cumulative_progressivecv,cumulative_key_pass_value,cumulative_dribble_value,cumulative_assist,attempted_tackles,attempted_ground_duels,attempted_aerial_duels,attempted_crosses,attempted_dribbles,attempted_shots,rate_progressive,rate_progressive_carries,rate_clearance_value,rate_rec_value,rate_int_value,rate_block_value,rate_carries,success_rate_tackles,success_rate_ground_duels,success_rate_aerial_duels,success_rate_crosses,success_rate_dribbles,shot_accuracy,percentile_success_rate_passes,percentile_success_rate_tackles,percentile_rate_int_value,percentile_rate_block_value,percentile_success_rate_ground_duels,percentile_success_rate_aerial_duels,percentile_rate_clearance_value,percentile_success_rate_crosses,percentile_rate_progressive,percentile_rate_rec_value,cumulative_ground_duel_value,cumulative_aerial_duel_value,attempted_key_passes,attempted_assists,rate_key_pass_value,rate_dribble_value,rate_assist,rate_ground_duels,rate_aerial_duels,rate_tackle_value,success_rate_key_passes,success_rate_assists,percentile_pass_value,percentile_progressive,percentile_key_pass_value,percentile_dribble_value,percentile_tackle_value,percentile_ground_duels,percentile_aerial_duels,percentile_assists,rate_goals,percentile_goals,cumulative_dribbles,cumulative_assists,cumulative_crosses,cumulative_ground_duels,cumulative_aerial_duels,rate_dribbles,rate_shots,rate_assists,rate_crosses,success_rate_shots,percentile_dribbles,percentile_shots,percentile_crosses
1743,65f39ca622b08a4c01b5cec7,65f391e1af975cb6d775f854,Lobi Stars FC U-17,David Zever,Under 17,Nigeria,2,,33.0,,,49.0,0.6,,,,0.673469387755102,,,,,1.469112244897959,56.811594202898554,Defensive Midfielder,25.0,3.0,4.0,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,4.0,2.0,2.0,,1.0,0.0,12.5,0.0,,,2.0,,,0.75,0.5,0.5,,1.0,0.0,,,,,,,,,,,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,1.5,0.0,0.0,19.130434782608695,71.15942028985506,85.3623188405797,81.73913043478261,61.59420289855072,71.30434782608695,57.68115942028985,,,,,,,,,,,,,,,,
3541,65a01ea5950b77891b22f466,65faa3a3d1b643df8c93170e,Fima football club,Dayo Osho,Under 21,Nigeria,5,,,,,,0.8,,,,,,,,,0.422964705882353,83.7593984962406,Center Forward,,,,,,,,,,8.0,2.0,0.0,1.0,,,,1.0,1.0,5.0,2.0,17.0,,0.0,,,,,,,1.0,0.0,0.2,1.0,,,,,,,,,,,,,,,,0.2,,,0.2,0.0,,,,,,64.73684210526316,,,93.00751879699249,30.67669172932331,42.18045112781955,0.4,78.7218045112782,2.0,0.0,1.0,1.0,0.0,0.4,1.6,0.0,0.2,0.47058823529411764,87.89473684210526,54.736842105263165,80.67669172932331
2413,6524357e5ca1cde91866b7db,65242cc15ca1cde91866b45d,Fc Bayern World Squad,Degnon Julien Brito,Under 19,Germany,1,,1.0,,,1.0,0.7,,,,1.0,,,,,0.126,4.536290322580645,Central Midfielder,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.55645161290323,4.637096774193548,31.75403225806452,27.116935483870968,18.951612903225808,38.91129032258064,31.75403225806452,42.84274193548387,,,,,,,,,,,,,,,
2810,66393e8725225e9de4577ec0,6626fcf9a629e9d9eb580f7b,First Bank FC,Deji Alo,Under 23,Nigeria,1,,,,,,0.9,,,,,,,,,1.2312,100.0,Left Winger,,,,,,,,,,4.0,2.0,0.0,1.0,,,,2.0,1.0,2.0,2.0,5.0,,0.0,,,,,,,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,1.0,,,2.0,0.0,,,,,,91.19318181818183,,,94.0340909090909,32.38636363636363,98.4375,2.0,99.85795454545455,2.0,1.0,0.0,2.0,0.0,2.0,4.0,1.0,0.0,0.8,85.79545454545455,86.64772727272727,32.24431818181818
3473,66393e8725225e9de4577ec0,6626fcf9a629e9d9eb580f7b,First Bank FC,Deji Alo,Under 23,Nigeria,5,,,,,,0.9,,,,,,,,,0.5225357142857143,93.98496240601504,Center Forward,,,,,,,,,,5.0,2.0,1.0,3.0,,,,1.0,7.0,1.0,3.0,8.0,,0.2,,,,,,,0.0,0.14285714285714285,1.0,0.6666666666666666,,,,,,,,,,,,,,,,0.6,,,0.0,0.2,,,,,,84.81203007518798,,,37.96992481203007,61.65413533834586,95.11278195488721,0.4,78.7218045112782,2.0,2.0,1.0,0.0,1.0,0.4,1.0,0.4,0.2,0.625,69.47368421052632,72.63157894736842,98.94736842105263
299,66ccd0ec0aef59c3b5f17cbe,66cccddd0aef59c3b5f17c41,Ijebu United FC,Dele Oshobe,Under 23,Nigeria,1,,33.0,,,36.0,0.9,,,,0.9166666666666666,,,,,3.5805000000000002,97.11815561959655,Right Back,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,91.64265129682997,15.706051873198849,10.086455331412104,24.927953890489913,35.158501440922194,24.927953890489913,35.73487031700288,95.53314121037464,99.42363112391931,50.14409221902017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,65b2aa49a4014ca7c801f33d,65b0d763ef9c043d42042bcd,Real Sapphire FC,Demehin Remilekun,Under 21,Nigeria,4,5.0,70.0,2.0,7.0,77.0,0.8,1.25,0.5,1.75,0.9090909090909091,56.05536332179931,66.26297577854672,55.88235294117647,88.42105263157895,0.6927272727272726,62.4561403508772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3175,669ef9e2b7b490eabb346cb3,669ef238b7b490eabb346bf2,Legacy Stars FC,Dennis Metusalah,Under 21,Nigeria,1,,,,,,0.0,,,,,,,,,0.0,48.33948339483395,Right Winger,,,,,,,,,,0.0,0.0,1.0,1.0,,,,0.0,0.0,1.0,1.0,0.0,,1.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,,,0.0,0.0,,,,,,90.95940959409594,,,37.08487084870848,34.87084870848708,41.32841328413284,0.0,38.00738007380074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.985239852398525,26.199261992619927,32.10332103321033
1974,65bcc36702859ad82f04591b,65bac4ebb8771f1dc21d8530,Inter Lagos FC,Dennis Mse,First Team,Nigeria,2,,40.0,,,46.0,1.0,,,,0.8695652173913043,,,,,2.2865217391304347,92.94354838709677,Central Midfielder,24.0,3.0,7.0,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,,0.0,0.0,12.0,0.0,,,3.5,,,1.0,1.0,0.5,,0.0,0.0,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5,0.0,0.0,75.20161290322581,84.67741935483872,31.75403225806452,27.116935483870968,82.15725806451613,92.84274193548387,71.875,42.84274193548387,,,,,,,,,,,,,,,
591,65e306984820b1c0f776f38c,65e302f9da6a2b27f144cf21,Plateau United FC U-17,Dennis Philip,Under 17,Nigeria,2,,16.0,,,18.0,0.6,,,,0.8888888888888888,,,,,0.7093333333333334,12.968299711815561,Right Back,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,5.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,87.31988472622479,82.27665706051873,10.086455331412104,24.927953890489913,35.158501440922194,24.927953890489913,20.605187319884728,78.09798270893373,23.77521613832853,50.14409221902017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2256,6645202e61aea2081076dd39,65a01a7c8d3de955dd18a044,FC Ebedei,Dennis Saondo,Under 21,Nigeria,1,,5.0,,,8.0,0.8,,,,0.625,,,,,0.65,36.08870967741936,Central Midfielder,2.0,2.0,1.0,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,2.0,,0.0,0.0,2.0,0.0,,,1.0,,,0.6666666666666666,0.0,0.0,,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,14.31451612903226,25.705645161290324,99.09274193548387,27.116935483870968,49.29435483870967,38.91129032258064,31.75403225806452,42.84274193548387,,,,,,,,,,,,,,,
4081,6614a3272c9f554574904d27,66148a432c9f5545749047bc,Aljazera Sports Academy Muyuka,Derine Mujang Asang,Under 21,Cameroon,1,,,,,,0.8,,,,,,,,,0.0,9.323308270676693,Center Forward,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,31.57894736842105,,,37.96992481203007,30.67669172932331,42.18045112781955,0.0,34.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.15037593984962,20.225563909774436,38.27067669172932
1082,65b648a5aeaa79941017a3ca,65b632c88e12b465b6073675,Shooting Stars SC,Desmond Agbekpornu,First Team,Nigeria,1,,12.0,,,14.0,1.0,,,,0.8571428571428571,,,,,2.8007142857142857,82.18298555377207,Center Back,8.0,1.0,6.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,6.0,2.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,75.36115569823436,32.66452648475121,94.62279293739968,95.74638844301766,35.63402889245586,48.87640449438202,66.53290529695025,42.45585874799358,36.597110754414125,50.08025682182986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,65940dc2967a59206b3abdf3,65b632c88e12b465b6073675,Shooting Stars SC,Desmond Ojietefian,First Team,Nigeria,3,,56.0,,,71.0,1.0,,,,0.7887323943661971,,,,,3.6388732394366197,93.90048154093098,Center Back,51.0,1.0,4.0,2.0,22.0,0.0,0.0,5.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,17.0,0.3333333333333333,7.333333333333333,0.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.0,1.0,0.0,1.0,0.0,49.43820224719101,83.22632423756019,40.44943820224719,71.91011235955057,35.63402889245586,87.56019261637239,91.57303370786516,42.45585874799358,82.90529695024077,50.08025682182986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,6614c6c82c9f554574904e27,6614afb42c9f554574904da1,Best Stars Academy,Desmond Takem Arrey,Under 21,Cameroon,1,3.0,18.0,1.0,1.0,29.0,0.8,3.0,1.0,1.0,0.6206896551724138,91.52249134948097,82.52595155709342,29.757785467128027,24.912280701754387,0.20965517241379308,21.052631578947366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410,66e3e478a3e4d4e044804269,65e1ddc390d7917600e4143c,Immaculate FC,Destiny Good luck,Under 21,Nigeria,1,,3.0,,,3.0,0.8,,,,1.0,,,,,0.144,5.342741935483871,"Central Midfielder,Defensive Midfielder,Attacking Midfielder",0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.55645161290323,4.637096774193548,31.75403225806452,27.116935483870968,18.951612903225808,38.91129032258064,31.75403225806452,42.84274193548387,,,,,,,,,,,,,,,
2226,66e3e478a3e4d4e044804269,65e1ddc390d7917600e4143c,Immaculate FC,Destiny Good luck,Under 21,Nigeria,2,,16.0,,,23.0,0.8,,,,0.6956521739130435,,,,,0.7941739130434783,42.13709677419355,"Central Midfielder,Attacking Midfielder,Defensive Midfielder",7.0,3.0,0.0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,,1.0,0.0,3.5,0.0,,,0.0,,,0.75,0.0,1.0,,1.0,0.0,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.5,0.0,0.0,23.084677419354836,36.49193548387097,31.75403225806452,84.77822580645162,54.03225806451613,38.91129032258064,91.33064516129032,42.84274193548387,,,,,,,,,,,,,,,
1937,65f9a20c3b2d056684741b98,65f993898f1530b05b7d519a,Gombe United FC U-17,Destiny Mathew,Under 17,Nigeria,1,,0.0,,,0.0,0.6,,,,0.0,,,,,0.0,0.8695652173913043,Defensive Midfielder,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3043478260869565,3.768115942028986,33.18840579710145,26.3768115942029,13.768115942028986,33.6231884057971,24.347826086956523,,,,,,,,,,,,,,,,
1603,667c742557fd798edcc9a1e4,667c715b57fd798edcc9a16e,Nigeria U17 Men,Destiny Samuel,Under 17,Nigeria,5,,213.0,,,262.0,0.6,,,,0.8129770992366412,,,,,3.003167938931298,97.3913043478261,"Defensive Midfielder,Central Midfielder",145.0,4.0,20.0,,,,,,,1.0,0.0,3.0,2.0,1.0,0.0,6.0,2.0,3.0,,1.0,0.0,29.0,0.6,,,4.0,,,0.6666666666666666,1.0,0.6666666666666666,,1.0,0.0,,,,,,,,,,,2.0,2.0,0.0,0.0,0.4,0.2,0.0,0.4,0.4,0.8,0.0,0.0,57.971014492753625,99.71014492753623,79.42028985507247,81.73913043478261,51.59420289855072,90.28985507246377,68.11594202898551,,,,,,,,,,,,,,,,
2580,66321a44002c0497aeefacb8,66321911002c0497aeefac0a,STARI Third World,Dickson Mohammed,Under 19,Ghana,1,,12.0,,,18.0,0.7,,,,0.6666666666666666,,,,,0.9963333333333333,61.33333333333333,"Attacking Midfielder,Central Midfielder",7.0,0.0,2.0,,,,,,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,,3.0,0.0,7.0,0.0,,,2.0,,,0.0,0.0,0.0,,0.6666666666666666,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,27.200000000000003,68.53333333333333,92.93333333333334,61.06666666666667,18.0,36.8,33.2,41.86666666666667,0.0,39.86666666666667,,,,,,,,,,,,,
2713,66e815dd2e1ae76dbcc365ae,66e8117d2e1ae76dbcc364fa,Ahudiyannema FC,Dickson Uwaka,Under 21,Nigeria,2,,9.0,,,19.0,0.8,,,,0.47368421052631576,,,,,0.4692631578947369,25.866666666666667,Attacking Midfielder,5.0,1.0,4.0,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,,0.0,0.0,2.5,0.0,,,2.0,,,0.5,0.0,1.0,,0.0,0.0,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,5.6000000000000005,27.333333333333332,29.86666666666667,27.866666666666667,44.266666666666666,36.8,92.80000000000001,41.86666666666667,0.0,39.86666666666667,,,,,,,,,,,,,
3918,664f0f98ad4c68ba26c7d47b,65ebc3c9a6760f66b4f05c6d,Brave football academy intl,Dipo Obinde,Under 19,Nigeria,1,,,,,,0.7,,,,,,,,,0.08399999999999999,27.06766917293233,Center Forward,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,,0.0,,,,,,,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,31.57894736842105,,,37.96992481203007,30.67669172932331,42.18045112781955,0.0,34.285714285714285,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.15037593984962,20.225563909774436,98.94736842105263
3191,66b01745df4c4ef6db915ad1,643087f9655c28273f897e8f,KAKAWA FC,Divine Abara,Under 21,Nigeria,1,,,,,,0.0,,,,,,,,,0.0,48.33948339483395,Right Winger,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2.0,0.0,3.0,,0.0,,,,,,,0.0,0.0,0.5,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,30.627306273062732,,,37.08487084870848,34.87084870848708,41.32841328413284,0.0,38.00738007380074,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.985239852398525,26.199261992619927,90.22140221402213
2993,66ddddda8cc6e1a85c181623,66608ccc657c4bbf7b78ea77,De Elite Football Academy,Divine Chukwuemeka,Under 21,Nigeria,1,,,,,,0.8,,,,,,,,,0.22400000000000003,48.4375,Left Winger,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,0.0,,0.0,,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,27.130681818181817,,,40.19886363636363,32.38636363636363,43.60795454545455,0.0,34.80113636363637,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,85.79545454545455,24.289772727272727,32.24431818181818
10,65e69a0c910a6d54ed3190ba,65e698f8910a6d54ed319076,Bucknor FC/Academy,Divine DARLINGTON,Under 23,Nigeria,6,7.0,119.0,6.0,23.0,150.0,0.9,1.1666666666666667,1.0,3.8333333333333335,0.7933333333333333,54.67128027681662,82.52595155709342,93.77162629757785,59.64912280701754,1.8564000000000003,96.49122807017544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3282,66ddde318cc6e1a85c181634,66608ccc657c4bbf7b78ea77,De Elite Football Academy,Divine Hussaini,Under 21,Nigeria,1,,,,,,0.0,,,,,,,,,0.0,48.33948339483395,Right Winger,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,30.627306273062732,,,37.08487084870848,34.87084870848708,41.32841328413284,0.0,38.00738007380074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.985239852398525,26.199261992619927,32.10332103321033
2322,65a27b27f2ce7496a635b965,65a01a7c8d3de955dd18a044,FC Ebedei,Divine Morris Tamarapreye,Under 21,Nigeria,3,,13.0,,,17.0,0.8,,,,0.7647058823529411,,,,,0.4301176470588235,22.782258064516128,Central Midfielder,5.0,0.0,1.0,,,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.6666666666666667,0.3333333333333333,,,0.3333333333333333,,,0.0,0.0,1.0,,0.0,0.0,,,,,,,,,,,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,38.20564516129033,22.076612903225808,71.47177419354838,27.116935483870968,18.951612903225808,38.91129032258064,91.33064516129032,42.84274193548387,,,,,,,,,,,,,,,
3,6666cac316aa5031906b7700,6666c9cf16aa5031906b76cd,Imperial FC,Divine Onuorah,Under 21,Nigeria,1,0.0,34.0,2.0,4.0,46.0,0.8,0.0,2.0,4.0,0.7391304347826086,8.131487889273355,96.19377162629758,95.8477508650519,50.175438596491226,2.139130434782609,98.94736842105263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,65ee4cebc1d4f4a38095e0fc,65ee49c0a68897425d090a28,Enyimba FC U-17,Divine Onyeka,Under 17,Nigeria,1,,8.0,,,14.0,0.6,,,,0.5714285714285714,,,,,1.2962857142857143,30.835734870317005,Right Back,10.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,10.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,12.82420749279539,15.706051873198849,71.90201729106627,24.927953890489913,91.06628242074927,24.927953890489913,35.73487031700288,78.09798270893373,51.15273775216138,50.14409221902017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3584,65db5be332d020b358bbcd57,65db263f8336839e8680b0bd,Shooting Stars SC U-17,Dolapo Ganiyu,-,Nigeria,2,,,,,,1.0,,,,,,,,,0.375,77.29323308270676,Supporting Striker,,,,,,,,,,1.0,0.0,0.0,1.0,,,,1.0,5.0,2.0,2.0,3.0,,0.0,,,,,,,0.0,0.6,0.5,0.5,,,,,,,,,,,,,,,,0.5,,,0.0,1.5,,,,,,80.75187969924812,,,37.96992481203007,82.4812030075188,42.18045112781955,0.0,34.285714285714285,1.0,0.0,1.0,0.0,3.0,0.5,0.5,0.0,0.5,0.3333333333333333,65.18796992481202,47.744360902255636,92.63157894736842
195,667c727e57fd798edcc9a191,667c715b57fd798edcc9a16e,Nigeria U17 Men,Dominic Chinedu,Under 17,Nigeria,5,3.0,53.0,1.0,6.0,64.0,0.6,0.6,0.2,1.2,0.828125,22.491349480968857,54.844290657439444,39.44636678200692,70.17543859649122,0.3736874999999999,31.57894736842105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2244,66038d1ae50994704be8797f,65fcc05577b6ca0cc724ea91,Bendel Insurance FC Feeders,Dominion Ighodaro Osaghea,Under 17,Nigeria,2,,30.0,,,34.0,0.6,,,,0.8823529411764706,,,,,0.7132941176470587,38.50806451612903,Central Midfielder,11.0,0.0,1.0,,,,,,,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,5.5,0.0,,,0.5,,,0.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79.73790322580645,50.0,79.13306451612904,84.77822580645162,18.951612903225808,38.91129032258064,31.75403225806452,42.84274193548387,,,,,,,,,,,,,,,
1502,660b48764c68683a6dca596a,65a5243c9b7a8e25ec135914,Sporting Lagos Football Academy,Dominion Ugbogu,Under 19,Nigeria,1,,2.0,,,3.0,0.7,,,,0.6666666666666666,,,,,0.7151666666666665,14.767255216693421,Center Back,1.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,21.669341894060995,13.402889245585875,54.01284109149278,82.5040128410915,90.4494382022472,48.87640449438202,37.479935794542534,42.45585874799358,6.099518459069021,50.08025682182986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,65ee412ec1d4f4a38095df4c,65ee37bea68897425d08ff24,Abia Warriors FC U-17,Donatus Emmanuel,Under 17,Nigeria,1,,2.0,,,6.0,0.6,,,,0.3333333333333333,,,,,0.11999999999999998,2.608695652173913,Defensive Midfielder,1.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,1.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.898550724637681,10.0,33.18840579710145,26.3768115942029,13.768115942028986,33.6231884057971,24.347826086956523,,,,,,,,,,,,,,,,
297,66d79bdaad117991254f7978,66ce0f4be00c3ce2e82c3374,Asvo FC,Dossou Dognon Mouile,First Team,Benin,1,,21.0,,,30.0,1.0,,,,0.7,,,,,3.5999999999999996,97.69452449567724,Right Back,17.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,17.0,1.0,4.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,32.27665706051873,82.27665706051873,81.55619596541787,86.1671469740634,35.158501440922194,24.927953890489913,82.85302593659942,29.394812680115272,87.60806916426513,50.14409221902017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,667c7b042305ba92e31f600d,667c78bf2305ba92e31f5f81,Turf Season Tigers,Dotun Adebajo,Under 21,Nigeria,1,,10.0,,,10.0,0.8,,,,1.0,,,,,0.7120000000000001,14.606741573033707,Center Back,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,96.78972712680579,13.402889245585875,29.534510433386842,21.187800963081862,90.4494382022472,19.903691813804173,19.743178170144464,42.45585874799358,13.804173354735152,50.08025682182986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,66a80707b0b74f55a5f2a30a,66a80014b0b74f55a5f2a219,City Boys FC,Dotun Aribiola,Under 21,Nigeria,7,23.0,76.0,1.0,25.0,98.0,0.8,3.2857142857142856,0.14285714285714285,3.5714285714285716,0.7755102040816326,94.80968858131487,52.7681660899654,92.73356401384083,55.78947368421052,0.9991836734693881,78.59649122807018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,66ce102fe00c3ce2e82c33c5,66ce0f4be00c3ce2e82c3374,Asvo FC,Douyeme Batori,First Team,Benin,2,3.0,83.0,6.0,3.0,89.0,1.0,1.5,3.0,1.5,0.9325842696629213,66.26297577854672,99.30795847750865,48.09688581314879,93.6842105263158,1.443258426966292,91.22807017543859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4010,65bcc31402859ad82f045909,65bac4ebb8771f1dc21d8530,Inter Lagos FC,Doyin Omotoso,First Team,Nigeria,1,,,,,,1.0,,,,,,,,,0.0,9.323308270676693,Center Forward ,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2.0,0.0,1.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,31.57894736842105,,,37.96992481203007,30.67669172932331,42.18045112781955,0.0,34.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.15037593984962,20.225563909774436,38.27067669172932
